Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance
104.401,10,104,398000000,map,2.700710495394832,1.194156134167222,0.0,0.0,0.0,0.70886096276606,0.7053482370193991,"(0.023474930536491634, 0.00010361276408366038, 0.0, 0.0, 0.0, 0.0, 0.00010361276408366038, 0.004868127353180096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004527567379607741)"
107.801,11,107,798000000,map,2.68234506056543,1.6320942101346372,0.0,0.0,0.0,0.7121902383897987,0.7019865129347441,"(0.015122678635064446, 0.0001979705763295314, 0.0, 0.0, 0.0, 0.0, 0.00019797057632864323, 0.0038332338563384916, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003545266113967472)"
111.001,12,110,998000000,map,2.6686044968685523,2.0745534800364758,0.0,0.0,0.0,0.7135854000714807,0.7005682527811439,"(0.012405552677434706, 0.0001265956458045281, 0.0, 0.0, 0.0, 0.0, 0.0001265956458036399, 0.0035588532125370165, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0029387948000441826)"
114.201,13,114,199000000,map,2.6581103648052355,2.5234258871600534,0.0,0.0,0.0,0.7169627482932944,0.6971114814430517,"(0.010251249573645538, 0.00047206715610048633, 0.0, 0.0, 0.0, 0.0, 0.00047206715610048633, 0.0031578328071173445, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0027002663430986755)"
117.4,14,117,398000000,map,2.6317953573504815,2.968264421251165,0.0,0.0,0.0,0.7202039303346758,0.6937624223972393,"(0.009785875332687155, 0.0004373508780073365, 0.0, 0.0, 0.0, 0.0, 0.0004373508780082247, 0.002915218916088591, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0027506340559225765)"
120.601,15,120,598000000,map,2.6112054431969924,3.419769643334744,0.0,0.0,0.0,0.7230483218940629,0.6907974552690388,"(0.008578159960968001, 0.0006303704533756616, 0.0, 0.0, 0.0, 0.0, 0.0006303704533756616, 0.0030823592048196957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0024603588632887002)"
123.8,16,123,798000000,map,2.580939804886171,3.8602779375019742,0.0,0.0,0.0,0.7237545519291172,0.6900574965623392,"(0.010062797125891088, 0.0007129041866669183, 0.0, 0.0, 0.0, 0.0, 0.0007129041866669183, 0.003233468942793749, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025735692318188384)"
134.801,17,134,799000000,map,2.6287094771159443,3.9392163892639713,0.0,0.0,0.0,0.27557930733204616,0.961278339176739,"(0.008341129348403697, 0.0006756402942400541, 0.0, 0.0, 0.0, 0.0, 0.0006756402942400541, 0.0037450037160642324, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0031811646332262325)"
143.601,18,143,599000000,map,3.0426513985109573,3.994904284756917,0.0,0.0,0.0,-0.029744108787119028,0.9995575461135092,"(0.008310984884699835, 1.1730695055334195e-05, 0.0, 0.0, 0.0, 0.0, 1.1730695055334195e-05, 0.003712580276612698, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033907777181337814)"
148.003,19,148,0,map,3.470573917152738,3.9681901955622565,0.0,0.0,0.0,-0.1005090083620297,0.994936148322133,"(0.006996295588569623, -0.0007361355567176986, 0.0, 0.0, 0.0, 0.0, -0.0007361355567176986, 0.004248203256377536, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002890284515615987)"
